osmid,name,coordinates,length
4039834,,"[(2.3248713, 48.8412731), (2.3248146, 48.8412029), (2.3247417, 48.8411127)]",3
4527645,Rue de Rivoli,"[(2.3571222, 48.8561474), (2.3567022, 48.8562529), (2.3565953, 48.8562782), (2.3565038, 48.8563006), (2.3558034, 48.8564688), (2.3554338, 48.8565522), (2.3553579, 48.8565693), (2.354968, 48.8566636), (2.3539893, 48.856898), (2.3538707, 48.856925), (2.3538382, 48.8569325)]",11
4574323,Rue des Mauvais Garçons,"[(2.3549542, 48.856641), (2.354968, 48.8566636), (2.3549917, 48.8567026)]",3
4574383,Rue de Turbigo,"[(2.3513847, 48.8641531), (2.3513174, 48.8642059), (2.3512556, 48.8642446), (2.3511007, 48.8642921)]",4
8349122,Rue Damrémont,"[(2.332492, 48.8869178), (2.3324769, 48.8869148), (2.3324209, 48.8869071)]",3
10816878,Rue Rampal,"[(2.3795742, 48.8747658), (2.3795184, 48.8747986)]",2
14163843,Tunnel de l'Étoile,"[(2.2987811, 48.8727062), (2.2985693, 48.8728027), (2.2984942, 48.8728522), (2.2984239, 48.8728953), (2.2983164, 48.8729401), (2.2975536, 48.8731833)]",6
14163844,Tunnel de l'Étoile,"[(2.2975536, 48.8731833), (2.2970648, 48.8733497), (2.2962238, 48.8736367), (2.2959364, 48.8737661), (2.2957297, 48.8738713), (2.2954048, 48.8740207), (2.2950827, 48.8741116), (2.2942178, 48.8742728), (2.2940176, 48.8743223), (2.2929349, 48.8746552)]",10
14310596,Tunnel de l'Étoile,"[(2.2929349, 48.8746552), (2.2923902, 48.8748276), (2.2919592, 48.8749503), (2.2915761, 48.875027), (2.2914629, 48.8750361)]",5
14577741,Rue du Capitaine Ferber,"[(2.4043192, 48.8643492), (2.404524, 48.8645595), (2.4045832, 48.8646138), (2.4046134, 48.8646363), (2.4046572, 48.8646683)]",5
14882420,Rue de Castiglione,"[(2.3273072, 48.8653522), (2.3272651, 48.8653053), (2.3272303, 48.8652664)]",3
15459667,Rue Van Gogh,"[(2.370984, 48.8436818), (2.3710635, 48.8436707), (2.371148, 48.8436471), (2.3711814, 48.8436241), (2.3711811, 48.8435861), (2.3711792, 48.8435701)]",6
16290794,Rue de la Tombe Issoire,"[(2.3339636, 48.8297868), (2.3340379, 48.8298286), (2.3341092, 48.8298665)]",3
17953215,Rampe Van Loo,"[(2.2682241, 48.8407145), (2.2683007, 48.8407126), (2.2684685, 48.8408021), (2.2689096, 48.8412471), (2.2690764, 48.8414162), (2.2691453, 48.8414264), (2.2691846, 48.8414184)]",7
19922683,,"[(2.3740634, 48.899827), (2.3740653, 48.8997745)]",2
22566238,Place de la Concorde,"[(2.3205046, 48.8642601), (2.3205573, 48.8642502), (2.3206312, 48.8642454)]",3
23032891,Rue Moreau,"[(2.3719438, 48.8488486), (2.3719795, 48.8488977)]",2
23041243,,"[(2.4108277, 48.870598), (2.4107272, 48.8706506)]",2
23041245,,"[(2.4110853, 48.8678957), (2.4109962, 48.8678939)]",2
23680854,Rue du Temple,"[(2.3596085, 48.8646815), (2.3596612, 48.8647516), (2.3596979, 48.8647735), (2.3600888, 48.8651587), (2.3603479, 48.8654168), (2.3607626, 48.8658057), (2.3608299, 48.8658715), (2.3608761, 48.8659163), (2.3610692, 48.8661008), (2.3614187, 48.8664173), (2.3614595, 48.8664512), (2.3614585, 48.8664689)]",12
23818636,Avenue de Pologne,"[(2.2735833, 48.8690008), (2.2734753, 48.8690344), (2.2721875, 48.8695145), (2.2721579, 48.8695235)]",4
24031242,Place du Docteur Paul Michaux,"[(2.2556611, 48.8384333), (2.2555642, 48.8384892), (2.2555121, 48.8385402), (2.2554848, 48.8385515)]",4
24677167,Rue Édouard Lartet,"[(2.4131365, 48.8398744), (2.4131409, 48.8399221), (2.4130767, 48.8399412), (2.4130539, 48.8399705), (2.4131468, 48.8403021), (2.4131984, 48.8403789), (2.4132493, 48.8406714), (2.4132769, 48.840835), (2.4132843, 48.8409095), (2.4132807, 48.8409776), (2.4132626, 48.8410338)]",11
24719927,Rue des Frères Flavien,"[(2.4130448, 48.874089), (2.4130745, 48.8741637), (2.4130689, 48.8741781), (2.4128201, 48.8750382), (2.4127745, 48.8751922), (2.4127567, 48.875254), (2.412698, 48.8754462), (2.4125421, 48.875959), (2.4125082, 48.8760702), (2.4124919, 48.8761238), (2.4124033, 48.8764031), (2.4122153, 48.8766361), (2.4121575, 48.8767081), (2.4119691, 48.8768057)]",14
24720135,Avenue de la Porte de Bagnolet,"[(2.4114338, 48.865737), (2.4114153, 48.8657293), (2.411409, 48.8657182), (2.4114997, 48.8654871), (2.4115029, 48.8654636), (2.4114928, 48.8654465)]",6
24868181,,"[(2.3690463, 48.8842239), (2.3689744, 48.8842643), (2.3689214, 48.8842941), (2.3688705, 48.8843227)]",4
24944212,Avenue de Friedland,"[(2.3051829, 48.8749646), (2.3050901, 48.8749544), (2.3049905, 48.8749445)]",3
25466677,Quai de l'Hôtel de Ville,"[(2.3536359, 48.8549763), (2.3544917, 48.8546413), (2.3547535, 48.8545417), (2.3548632, 48.8544995), (2.3549097, 48.8544834)]",5
25466721,Boulevard de la Bastille,"[(2.3668673, 48.8465519), (2.3668941, 48.8466136), (2.3675417, 48.8480344), (2.3675796, 48.8481169), (2.3678958, 48.8488047), (2.3679977, 48.8490368), (2.3681695, 48.8494085), (2.3681861, 48.8494327), (2.3682304, 48.8494897), (2.3683038, 48.8496538), (2.3683133, 48.8497164), (2.3684903, 48.8501094), (2.3685105, 48.8501543), (2.3689901, 48.8512044), (2.3690327, 48.8512428), (2.3691186, 48.8514409)]",16
25466771,,"[(2.3692345, 48.851762), (2.3693387, 48.8517503)]",2
25467172,Quai de la Rapée,"[(2.3667972, 48.8466011), (2.3668426, 48.8465686), (2.3668673, 48.8465519)]",3
25467233,Rue Villiot,"[(2.3743215, 48.8410382), (2.3742944, 48.8410853), (2.3743161, 48.8411088), (2.3752672, 48.8415907), (2.376125, 48.842013), (2.3761411, 48.8420122), (2.3761869, 48.8419832)]",7
25469732,Place Édouard Renard,"[(2.4068403, 48.8351772), (2.4072374, 48.8350334), (2.407796, 48.8348296), (2.407877, 48.8348), (2.4079418, 48.8347751)]",5
25469733,Avenue Daumesnil,"[(2.4082674, 48.834817), (2.4082976, 48.8348059), (2.409537, 48.83435)]",3
25469793,Avenue de la Porte de Vincennes,"[(2.413433, 48.8464002), (2.413601, 48.8463878)]",2
25469947,Quai Panhard et Levassor,"[(2.37966, 48.8321751), (2.3797185, 48.8321312)]",2
25471514,Avenue Jean Moulin,"[(2.3250164, 48.8269003), (2.3250647, 48.8269476), (2.3250999, 48.8269819), (2.3251741, 48.8270542), (2.3252165, 48.8270937), (2.3253061, 48.8271425), (2.3254623, 48.8272096), (2.3255284, 48.8272203), (2.3262573, 48.8275456), (2.3263421, 48.8276202), (2.3263846, 48.8276497), (2.3264288, 48.8276761), (2.3264811, 48.8277124), (2.3265476, 48.8277538)]",14
25473024,Avenue du Maréchal Fayolle,"[(2.2699583, 48.8670965), (2.2702981, 48.8674867), (2.2717411, 48.8691745), (2.2717616, 48.8691985)]",4
25473146,Allée des Fortifications,"[(2.2624977, 48.8566442), (2.2624946, 48.8566549), (2.262502, 48.8566688), (2.2625472, 48.8567469), (2.2625876, 48.856827), (2.2626266, 48.8569472), (2.2626512, 48.8570648), (2.2626697, 48.857182), (2.2627008, 48.8572854), (2.2627368, 48.8573688), (2.262788, 48.8574724), (2.2628554, 48.8575755), (2.2629281, 48.8576901), (2.262958, 48.8577368), (2.2629752, 48.8577632)]",15
25473868,Boulevard de l'Amiral Bruix,"[(2.2809144, 48.8759191), (2.2807325, 48.875862), (2.2804272, 48.8757604), (2.2802316, 48.8756975), (2.2801521, 48.8756663), (2.280092, 48.8756422)]",6
25474874,,"[(2.3713411, 48.8987765), (2.3713465, 48.8987106), (2.3713497, 48.8986488)]",3
25475795,,"[(2.3810525, 48.8989625), (2.3810565, 48.8989015), (2.3810594, 48.8988424)]",3
25477499,Rue Maryse Hilsz,"[(2.4121988, 48.8536609), (2.4122034, 48.8536457), (2.4122209, 48.8535918), (2.4123587, 48.8534112), (2.4124029, 48.8533648), (2.4124465, 48.8532475), (2.4124587, 48.8531995), (2.4124864, 48.8531374), (2.4124845, 48.8531171), (2.4125162, 48.8530131), (2.4125625, 48.8529391), (2.4128221, 48.8520237), (2.4127625, 48.8511554), (2.4127534, 48.8510236), (2.4127732, 48.8508628), (2.4129425, 48.8500227)]",16
25485929,Rue de Rivoli,"[(2.3338823, 48.8631744), (2.3337726, 48.8632106)]",2
25485930,Cours la Reine,"[(2.3197974, 48.8641193), (2.3195106, 48.8642014), (2.3186104, 48.8644974)]",3
25897088,Rue de Provence,"[(2.3380375, 48.8741541), (2.3380259, 48.8741544), (2.3376834, 48.8741618), (2.3376206, 48.8741656)]",4
26384918,Avenue Edison,"[(2.3607131, 48.829288), (2.3607037, 48.8293025), (2.3606837, 48.8293132), (2.3605988, 48.8293222), (2.3605772, 48.8293328), (2.3600249, 48.8296245)]",6
