osmid,name,cuisine,amenity,latitude,longitude,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,phone,description
158603712,The Village Terrazza,pizza,restaurant,48.8298353,2.3228662,,,,,Mo-Sa 11:30-23:30,+33 1 45 39 31 31,
175539450,Le Severo,french,restaurant,48.8319911,2.3245334,,8,75014,Rue des Plantes,"Mo-Fr 12:00-14:00,19:30-21:30",,
247439841,Uno,italian;pizza,restaurant,48.8618492,2.3434997,Paris,37,75001,Rue Berger,Mo-Su 12:00-00:00,,
247455916,La Crypte Polska,,restaurant,48.8672925,2.3255509,,,,,,,
247455920,Mystery Cuisine,,restaurant,48.8659,2.337242,,,,,,,
247455923,Chez Denise,french,restaurant,48.8615239,2.3440891,,,,,Mo-Su 12:00-24:00; Mo-Su 00:00-02:00,,
247455924,La Robe et le Palais,bistro;french,restaurant,48.8586437,2.3458501,,,,,,+33 1 45 08 07 41,
247467738,Macéo,,restaurant,48.8663903,2.3380844,,,,,,,
247696089,Le Petit Marché,french,restaurant,48.8572887,2.3660498,Paris,9,,Rue de Béarn,,,
247696090,Café des Musées,french,restaurant,48.8580708,2.3643313,,,,,"Mo-Su 12:00-15:00,19:00-23:30",+33 1 42 72 96 17,
247696092,Camille,french,restaurant,48.8577772,2.3607273,,,,,,,
247696094,Les Enfants Rouges,,restaurant,48.8630297,2.3612527,,,,,,+33 1 48 87 80 61,
247696096,404,moroccan,restaurant,48.864464,2.3543053,,,75003,Rue des Gravilliers,,,
248493877,Onhà Dô,vietnamese,restaurant,48.8483768,2.3739692,,,,,"Mo-Fr 12:00-14:30,19:00-22:30; Sa 12:00-15:00,19:00-23:00",,
250657148,Lémoni Café,,restaurant,48.8647973,2.3411779,,,,,Mo-Fr 11:30-15:00,,
250861677,Rani Mahal,indian,restaurant,48.8687993,2.3373273,,,,,,,
250861679,O' Scià,pizza;italian,restaurant,48.8648222,2.3475072,,,,,,,
250861680,Café Moderne,french,restaurant,48.8689038,2.3422059,,,,,,,
251043133,Holy Ramen,ramen,restaurant,48.860997,2.3544354,,,,,,+33 1 57 40 98 57,
251043137,La Perla,mexican,restaurant,48.8557588,2.3561398,,,,,Mo-Su 12:00-24:00,,
251043139,L'Excuse,,restaurant,48.8533876,2.3620076,,,,,,,
251043140,Pizzou,pizza,restaurant,48.8575825,2.3562566,,,,,"Mo-Th 12:00-14:15, 19:00-22:30; Fr 12:00-14:15, 19:00-23:00; Sa 12:00-23:00; Su 12:00-22:30; PH closed",+33 9 83 56 47 93,
251047644,Chez Marianne,falafel,restaurant,48.8577309,2.3586364,,,,,,,
251047682,Terrasse Sainte-Catherine,,restaurant,48.85559,2.3628253,,,,,,,
251125928,Le Lutétia Île Saint-Louis,,restaurant,48.8532987,2.3540953,,33,75004,Quai de Bourbon,Mo-Su 07:30-23:00,,
251126260,Au Petit Fer à Cheval,regional,restaurant,48.8574347,2.3576107,Paris,30,75004,Rue Vieille du Temple,Mo-Su 09:00-02:00,,
251474107,Jardin des Pâtes,pasta;italian,restaurant,48.8437435,2.3544856,,,,,"Mo-Su 12:00-14:30,19:30-22:30",,
251474108,La Tour d'Argent,french,restaurant,48.84983,2.3549148,,,,,"Tu-Sa 12:00-13:15, 19:00-21:15",+33 1 43 54 23 31,
251474109,Kusksi Original Couscous,,restaurant,48.8449458,2.3486915,,,,,,,
251652822,Desi Road,indian,restaurant,48.8556694,2.3399888,,,,,,,
251652824,Brasserie Lipp,,restaurant,48.8537528,2.3324105,,151,,Boulevard Saint-Germain,Mo-Su 11:45-00:45,+33145485391,
251670428,Metou,asian,restaurant,48.8493501,2.3391528,Paris,7,75006,Rue Corneille,"Tu-Sa 11:30-15:00,19:00-22:30",+33 1 42 03 57 32,
251670430,Silencio des Prés,,restaurant,48.8546811,2.3332029,,,,,Tu-Sa 19:00-02:00,,
251671404,Polidor,french,restaurant,48.8498182,2.3401339,,,,,"Mo-Su 12:00-14:30,19:00-00:30",+33 1 43 26 95 34,
251691150,La Grivoiserie,,restaurant,48.8441789,2.3299201,,,,,Mo-Sa 11:30-20:30,,
251691155,Le Trait D'Union,,restaurant,48.8468341,2.3265156,,,,,Mo-Sa 07:00-02:00,,
251758249,Buddha-Bar Paris,fusion_asiatique,restaurant,48.8680799,2.3215688,Paris,8-12,75008,Rue Boissy d'Anglas,,+33 1 53 05 90 00,
251758250,Qasim,indian,restaurant,48.8710439,2.3094204,,,,Rue du Colisée,,,
251758251,Diep,chinese,restaurant,48.8695157,2.3030346,,,,,,,
251851356,Bouillon Chartier,french,restaurant,48.8719858,2.3427378,Paris,7,75009,Rue du Faubourg Montmartre,Mo-Su 11:30-24:00,+33 1 47 70 86 29,
251851364,Le Café Zéphyr,french,restaurant,48.8718728,2.3418493,,,,,,,
251851388,Bouillon Julien,coffee_shop,restaurant,48.8705409,2.3532213,,,,,Mo-Su 11:45-24:00,,
251851390,Le Royal Est,,restaurant,48.8755247,2.3590436,,,,,"Mo-Sa 06:00-02:00, Su 07:00-02:00",,
251851391,Bouillon Chartier,french;brasserie,restaurant,48.8759117,2.3587708,,,,,Mo-Su 11:30-00:00,+33 1 42 05 20 02,
252214032,Clown-Bar,french,restaurant,48.8636232,2.3671745,,,,,"Mo-Fr 12:30-14:00, 19:00-23:00",+33143558735,
252263209,Biondi,argentine,restaurant,48.8638211,2.3670738,,118,75011,Rue Amelot,,+33 1 47 00 90 18,
252550640,Rang,indian,restaurant,48.8680028,2.3732066,,50,,Rue de la Fontaine au Roi,,,
252551795,Le Troisième Bureau,,restaurant,48.8656744,2.3707975,,,,,,,
252590177,Cannibale Café,regional;french,restaurant,48.86841,2.3793255,Paris,93,75011,Rue Jean-Pierre Timbaud,Mo-Su 07:30-02:00; Sa 09:00-02:00; Su 09:00-24:00,+33 1 49 29 95 59,
252591370,Avé Maria,,restaurant,48.8644844,2.3730277,,,,,Mo-Su 19:00-1:30,+33 1 47 00 61 73,
252599980,Le Café des Anges,coffee_shop;french,restaurant,48.8554359,2.3744522,Paris,66,75011,Rue de la Roquette,Mo-Su 07:30-02:00,+33 1 77 32 22 11,
252601888,Le Cyrano,,restaurant,48.8561021,2.3751898,,,,,,,
252604389,Justine,french;pizza,restaurant,48.8656774,2.3778866,Paris,96,75011,Rue Oberkampf,Mo-Su 08:00-02:00,+33 1 43 57 44 03,
252683843,Le Voltaire,brasserie,restaurant,48.8651691,2.3673694,,,,,,,
252816603,Sinorama,chinese,restaurant,48.8263633,2.3601703,,,,,"12:00-15:00,18:30-24:00",,
252816604,Phở Banh Cuon 14,vietnamese,restaurant,48.8263649,2.3595297,Paris,129,75013,Avenue de Choisy,Mo-Su 09:00-23:00,+33145836115,
252816971,Le Temps des Cerises,french,restaurant,48.8278771,2.3505246,Paris,18-20,75013,Rue de la Butte-aux-Cailles,"Mo-Fr 12:00-14:30, 19:00-23:00; Sa 12:00-15:00, 19:00-23:00",+33 1 45 89 69 48,
252851134,Atelier 58,,restaurant,48.8350004,2.3270301,,,,,,+33 1 43 20 21 59,
252851135,Papa yoyo,regional,restaurant,48.8332286,2.315712,Paris,40,75014,Rue de Gergovie,"Tu-Sa 12:00-02:00,18:00-22:30",+33 1 71 75 47 17,
252862643,Mian Mian,chinese,restaurant,48.8413291,2.2990993,Paris,4,75015,Rue Pétel,"Tu-Su 11:30-14:35,18:30-22:30",+33 1 45 32 58 76,
252862944,Perlamatta,italian,restaurant,48.8407836,2.2882769,Paris,114,75015,Rue de la Convention,,+331 75 57 59 13,
252874745,Andia,peruvian,restaurant,48.8581109,2.27222,,19,,Chaussée de la Muette,,+33 1 42151531,
253007445,La Pétaudière,,restaurant,48.8869322,2.3399586,Paris,7,75018,Rue Norvins,,,
254055842,GrandCœur,,restaurant,48.859616,2.3534984,,,,,,,
254278113,Marcello,,restaurant,48.8523273,2.3350061,,,,,"Mo-Fr 12:00-14:15,18:45-22:30; Sa-Su 12:00-22:30",+33 1 43 26 52 26,
254493346,Café Jacquemart-André,,restaurant,48.8755021,2.3103942,,,,,"Mo-Fr 11:45-17:30; Sa-Su 11:00-17:30 ""lors des nocturnes, lundis et samedis jusqu'à 19h, dernière admission 18h30""",,
254494167,Linette,french,restaurant,48.8600296,2.3006336,,,,,,,
254494168,Au Pied de Fouet,,restaurant,48.8516415,2.3185465,,,,,"Mo-Sa 12:00-14:30,19:00-23:00",,
254495985,Chez Germaine,,restaurant,48.8482525,2.3194882,Paris,30b,75007,Rue Pierre Leroux,,,
254497766,Chez l'Ami Jean,french,restaurant,48.8603183,2.3059915,Paris,27,75007,Rue Malar,"Tu-Sa 12:00-14:00,19:00-24:00",+33 1 47 05 86 89,
255060753,L'Astrance,,restaurant,48.8650879,2.2899274,Paris,32,75016,Rue de Longchamp,,+33 1 40 50 84 40,
256931651,Yotaro sushi,japanese,restaurant,48.8523799,2.4036853,,,,,,,
257540843,Doppio,italian,restaurant,48.8795968,2.3519355,,,,,,,
259962770,Dandelion,,restaurant,48.8544589,2.4006544,,,,,,,
268057538,Le Petit Littré,,restaurant,48.8450378,2.3240399,,,,,"Tu-Sa 12:00-14:30,19:00-22:30",+33 9 50 79 99 67,
269242525,Gildas Delamer,fish,restaurant,48.8395987,2.2669254,,1,,Boulevard Exelmans,,+33 1 45 27 08 68,
274244598,Suraj,indian,restaurant,48.827448,2.3148336,,,,,"11:30-14:30,19:00-23:00",,
274244871,L'Ancienne Menuiserie,,restaurant,48.8673444,2.3739608,,,,,,,
274250572,Bocamexa,mexican,restaurant,48.8570725,2.3560078,,,,,,,
275590939,Le Moulin à Café,,restaurant,48.8334851,2.3198808,Paris,8,75014,Rue Sainte-Léonie,Tu-Sa 10:00-22:00,+33140448755,
276661273,Le Muguet,,restaurant,48.8527753,2.4059315,,,,,,,
276662032,La Popotière,french;regional,restaurant,48.8551966,2.4016334,Paris,58,75020,Rue de la Réunion,,+33 1 43 67 51 15,
276662465,Sohna Punjab,indian,restaurant,48.8540343,2.4058858,Paris,76,75020,Rue des Pyrénées,,+33 1 53 27 81 59,
276918983,Le Cardinal,,restaurant,48.8373251,2.2574534,,,,,Mo-Su 07:00-01:00,,
276919024,Les Fontaines,,restaurant,48.8378504,2.2579307,,,,,,,
282763288,Le Nemrod,,restaurant,48.8488333,2.3253506,,,,,,,
283347802,La Grille Montorgueil,,restaurant,48.8647212,2.3469127,,,,,,+33 1 42 33 21 21,
283348230,Le Plomb du Cantal,french,restaurant,48.8693462,2.3552659,,,,,Mo-Su 07:00-00:00,+33 1 42 08 01 11,
286646627,L’Arrosoir,,restaurant,48.8461619,2.378132,,,,,,+33 1 43436458,
